time,veh_u,veh_v,model_GRU_lon_2080.pt
4.12,6.43842,0.0,6.466348648071289
4.13,6.46438,0.0,6.4918718338012695
4.14,6.49033,0.0,6.516849517822266
4.15,6.51627,0.0,6.540987491607666
4.16,6.54219,0.0,6.5645294189453125
4.17,6.5681,0.0,6.588106632232666
4.18,6.59399,0.0,6.612156867980957
4.19,6.61987,0.0,6.637276649475098
4.2,6.64573,0.0,6.662822723388672
4.21,6.67158,0.0,6.687926292419434
4.22,6.69741,0.0,6.712297439575195
4.23,6.72322,0.0,6.736191749572754
4.24,6.74901,0.0,6.760028839111328
4.25,6.77478,0.0,6.784074306488037
4.26,6.80053,0.0,6.808713912963867
4.27,6.82115,0.0,6.83382511138916
4.28,6.85195,0.0,6.859155178070068
4.29,6.87762,0.0,6.884649753570557
4.3,6.90326,0.0,6.910580635070801
4.31,6.92379,0.0,6.936652660369873
4.32,6.95443,0.0,6.961939811706543
4.33,6.97996,0.0,6.98646879196167
4.34,7.00545,0.0,7.011061668395996
4.35,7.02587,0.0,7.036229133605957
4.36,7.05631,0.0,7.0616135597229
4.37,7.08167,0.0,7.08698034286499
4.38,7.10698,0.0,7.112456321716309
4.39,7.13224,0.0,7.13840389251709
4.4,7.15745,0.0,7.1643266677856445
4.41,7.18261,0.0,7.1903204917907715
4.42,7.20772,0.0,7.2165751457214355
4.43,7.23278,0.0,7.2422075271606445
4.44,7.2578,0.0,7.267469882965088
4.45,7.28277,0.0,7.293200492858887
4.46,7.3077,0.0,7.320065498352051
4.47,7.33259,0.0,7.347108364105225
4.48,7.35745,0.0,7.373613357543945
4.49,7.38228,0.0,7.399962902069092
4.5,7.40708,0.0,7.42603063583374
4.51,7.43186,0.0,7.452182292938232
4.52,7.45172,0.0,7.477915287017822
4.53,7.48141,0.0,7.502966403961182
4.54,7.50618,0.0,7.527115345001221
4.55,7.53096,0.0,7.550979137420654
4.56,7.55084,0.0,7.574827671051025
4.57,7.58058,0.0,7.598598957061768
4.58,7.60544,0.0,7.622446060180664
4.59,7.63033,0.0,7.646713733673096
4.6,7.65031,0.0,7.671285152435303
4.61,7.68025,0.0,7.695619583129883
4.62,7.7053,0.0,7.720161437988281
4.63,7.73041,0.0,7.744960308074951
4.64,7.75558,0.0,7.770407199859619
4.65,7.78083,0.0,7.7965850830078125
4.66,7.80614,0.0,7.82346773147583
4.67,7.83154,0.0,7.8509392738342285
4.68,7.85701,0.0,7.878230094909668
4.69,7.88256,0.0,7.905496597290039
4.7,7.90818,0.0,7.93314790725708
4.71,7.93388,0.0,7.960383415222168
4.72,7.95964,0.0,7.986917018890381
4.73,7.98548,0.0,8.01294231414795
4.74,8.01137,0.0,8.038432121276855
4.75,8.03732,0.0,8.063834190368652
4.76,8.06332,0.0,8.089533805847168
4.77,8.0842,0.0,8.115120887756348
4.78,8.11544,0.0,8.140344619750977
4.79,8.14154,0.0,8.164538383483887
4.8,8.16765,0.0,8.188688278198242
4.81,8.1886,0.0,8.213302612304688
4.82,8.21989,0.0,8.23846435546875
4.83,8.246,0.0,8.263848304748535
4.84,8.27206,0.0,8.28897476196289
4.85,8.29294,0.0,8.31325626373291
4.86,8.32408,0.0,8.33737850189209
4.87,8.35001,0.0,8.36213207244873
4.88,8.37589,0.0,8.386934280395508
4.89,8.40166,0.0,8.411248207092285
4.9,8.42737,0.0,8.43561840057373
