time,veh_u,veh_v,model_LSTM_lon_2139.pt
13.21,30.92971,0.0,30.617027282714844
13.22,30.92059,0.0,30.61606216430664
13.23,30.91081,0.0,30.614980697631836
13.24,30.90033,0.0,30.61379051208496
13.25,30.88916,0.0,30.612497329711914
13.26,30.87729,0.0,30.610979080200195
13.27,30.86471,0.0,30.609363555908203
13.28,30.85412,0.0,30.607654571533203
13.29,30.84027,0.0,30.605775833129883
13.3,30.8228,0.0,30.60370635986328
13.31,30.80745,0.0,30.601381301879883
13.32,30.7914,0.0,30.598777770996094
13.33,30.77468,0.0,30.59587860107422
13.34,30.75729,0.0,30.59261131286621
13.35,30.73922,0.0,30.58898162841797
13.36,30.72049,0.0,30.5849666595459
13.37,30.70498,0.0,30.580432891845703
13.38,30.68104,0.0,30.57533836364746
13.39,30.66033,0.0,30.5696964263916
13.4,30.63897,0.0,30.56333351135254
13.41,30.61694,0.0,30.555940628051758
13.42,30.59426,0.0,30.547603607177734
13.43,30.57092,0.0,30.53816795349121
13.44,30.54691,0.0,30.52766227722168
13.45,30.52718,0.0,30.515594482421875
13.46,30.49692,0.0,30.502052307128906
13.47,30.47092,0.0,30.486812591552734
13.48,30.44425,0.0,30.469079971313477
13.49,30.41691,0.0,30.449037551879883
13.5,30.38889,0.0,30.426502227783203
13.51,30.36019,0.0,30.401233673095703
13.52,30.33083,0.0,30.373245239257812
13.53,30.30679,0.0,30.342357635498047
13.54,30.27622,0.0,30.308603286743164
13.55,30.23874,0.0,30.271703720092773
13.56,30.20673,0.0,30.232131958007812
13.57,30.17408,0.0,30.190515518188477
13.58,30.1408,0.0,30.14745330810547
13.59,30.10692,0.0,30.103260040283203
13.6,30.07244,0.0,30.058958053588867
13.61,30.03739,0.0,30.015199661254883
13.62,30.00887,0.0,29.971935272216797
13.63,29.96567,0.0,29.929353713989258
13.64,29.92906,0.0,29.887956619262695
13.65,29.89197,0.0,29.847923278808594
13.66,29.85445,0.0,29.808839797973633
13.67,29.81652,0.0,29.770856857299805
13.68,29.77823,0.0,29.733762741088867
13.69,29.73959,0.0,29.69731903076172
13.7,29.70839,0.0,29.660982131958008
13.71,29.66148,0.0,29.624832153320312
13.72,29.62207,0.0,29.588563919067383
13.73,29.58245,0.0,29.552204132080078
13.74,29.54268,0.0,29.515544891357422
13.75,29.5028,0.0,29.47846031188965
13.76,29.46281,0.0,29.440828323364258
13.77,29.42278,0.0,29.402414321899414
13.78,29.39063,0.0,29.36356544494629
13.79,29.35054,0.0,29.324113845825195
13.8,29.3026,0.0,29.28394317626953
13.81,29.26261,0.0,29.243104934692383
13.82,29.22269,0.0,29.202213287353516
13.83,29.18285,0.0,29.16108512878418
13.84,29.14311,0.0,29.11973762512207
13.85,29.10348,0.0,29.07805633544922
13.86,29.06396,0.0,29.036075592041016
13.87,29.03236,0.0,28.993568420410156
13.88,28.98532,0.0,28.951108932495117
13.89,28.94615,0.0,28.90830421447754
13.9,28.90716,0.0,28.865629196166992
13.91,28.86825,0.0,28.822994232177734
13.92,28.82945,0.0,28.780345916748047
13.93,28.79073,0.0,28.73758316040039
13.94,28.75208,0.0,28.6943359375
13.95,28.72111,0.0,28.650718688964844
13.96,28.67493,0.0,28.607013702392578
13.97,28.63639,0.0,28.563535690307617
13.98,28.59783,0.0,28.5200138092041
13.99,28.55924,0.0,28.476184844970703
14.0,28.52057,0.0,28.43238067626953
14.01,28.48185,0.0,28.38838005065918
14.02,28.443,0.0,28.344404220581055
14.03,28.41173,0.0,28.300941467285156
14.04,28.3726,0.0,28.257801055908203
14.05,28.32548,0.0,28.214950561523438
14.06,28.2859,0.0,28.172780990600586
14.07,28.24608,0.0,28.131397247314453
14.08,28.20599,0.0,28.090518951416016
14.09,28.16561,0.0,28.049964904785156
14.1,28.12492,0.0,28.01009750366211
14.11,28.0839,0.0,27.971084594726562
14.12,28.05074,0.0,27.932708740234375
14.13,28.00081,0.0,27.895339965820312
14.14,27.95873,0.0,27.85801887512207
14.15,27.91626,0.0,27.821102142333984
14.16,27.87342,0.0,27.784976959228516
14.17,27.83019,0.0,27.748693466186523
14.18,27.78659,0.0,27.7126522064209
14.19,27.74259,0.0,27.676843643188477
14.2,27.70706,0.0,27.640703201293945
14.21,27.65354,0.0,27.604572296142578
14.22,27.60849,0.0,27.56806182861328
14.23,27.5631,0.0,27.53055763244629
14.24,27.51739,0.0,27.49282455444336
14.25,27.47141,0.0,27.454313278198242
14.26,27.42515,0.0,27.41486358642578
14.27,27.37866,0.0,27.374860763549805
14.28,27.3412,0.0,27.33340835571289
14.29,27.29434,0.0,27.29069709777832
14.3,27.23802,0.0,27.247230529785156
14.31,27.19086,0.0,27.202165603637695
14.32,27.14362,0.0,27.156143188476562
14.33,27.09632,0.0,27.1092529296875
14.34,27.049,0.0,27.061201095581055
14.35,27.00171,0.0,27.012710571289062
14.36,26.95444,0.0,26.963987350463867
14.37,26.91658,0.0,26.914731979370117
14.38,26.86018,0.0,26.865550994873047
14.39,26.81324,0.0,26.816415786743164
14.4,26.76645,0.0,26.767749786376953
14.41,26.71984,0.0,26.719852447509766
14.42,26.67343,0.0,26.67255973815918
14.43,26.62724,0.0,26.625741958618164
14.44,26.58127,0.0,26.57977867126465
14.45,26.54456,0.0,26.53406524658203
14.46,26.49005,0.0,26.488765716552734
14.47,26.4448,0.0,26.44398307800293
14.48,26.39979,0.0,26.399423599243164
14.49,26.35501,0.0,26.355663299560547
14.5,26.31045,0.0,26.312358856201172
14.51,26.2661,0.0,26.269180297851562
14.52,26.22193,0.0,26.226341247558594
14.53,26.18662,0.0,26.183629989624023
14.54,26.14273,0.0,26.14030647277832
14.55,26.09032,0.0,26.096891403198242
14.56,26.04664,0.0,26.053001403808594
14.57,26.00302,0.0,26.00851058959961
14.58,25.9594,0.0,25.964609146118164
14.59,25.91573,0.0,25.920772552490234
14.6,25.87205,0.0,25.876623153686523
14.61,25.82824,0.0,25.8321475982666
14.62,25.79299,0.0,25.786958694458008
14.63,25.74016,0.0,25.741056442260742
14.64,25.69582,0.0,25.695234298706055
